Rank,Track,Singer(s),Stream,Peak,Prev,Streak
1,7 rings,Ariana Grande,6.069.713,1,1,43
2,Shallow,Lady Gaga; Bradley Cooper,5.174.337,2,2,155
3,Sucker,Jonas Brothers,5.168.503,3,—,1
4,Con Calma,Daddy Yankee; Snow,4.544.816,3,4,36
5,break up with your girlfriend i'm bored,Ariana Grande,4.508.148,2,3,22
6,Wow.,Post Malone,3.834.691,1,5,68
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,3.563.295,1,6,135
8,Dancing With A Stranger (with Normani),Sam Smith; Normani,3.035.404,6,7,50
9,Calma - Remix,Pedro Capó; Farruko,3.019.740,5,13,112
10,thank u next,Ariana Grande,2.977.963,1,9,118
11,Secreto,Anuel AA; KAROL G,2.967.869,10,15,46
12,Happier,Marshmello; Bastille,2.955.091,2,11,197
13,bury a friend,Billie Eilish,2.930.913,2,8,31
14,MIDDLE CHILD,J. Cole,2.908.958,2,10,37
15,Sweet but Psycho,Ava Max,2.883.629,5,14,156
16,I Can’t Get Enough (benny blanco Selena Gomez J Balvin Tainy),benny blanco; Selena Gomez; J Balvin; Tainy,2.846.195,16,—,1
17,Without Me,Halsey,2.791.115,3,12,148
18,Baila Baila Baila,Ozuna,2.663.132,16,16,50
19,Talk,Khalid; Disclosure,2.618.004,16,17,22
20,Robbery,Juice WRLD,2.444.901,19,21,16
21,Giant (with Rag'n'Bone Man),Calvin Harris; Rag'n'Bone Man,2.367.650,19,20,50
22,Murder On My Mind,YNW Melly,2.360.525,19,19,16
23,i'm so tired...,Lauv; Troye Sivan,2.351.454,18,18,36
24,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,2.348.020,1,23,155
25,Going Bad (feat. Drake),Meek Mill; Drake,2.221.378,8,22,92
26,MIA,Bad Bunny; Drake,2.200.010,1,24,142
27,Don't Call Me Up,Mabel,2.077.147,25,25,29
28,High Hopes,Panic! At The Disco,2.047.627,8,26,253
29,Adan y Eva,Paulo Londra,2.017.977,10,27,116
30,Bohemian Rhapsody - Remastered 2011,Queen,1.945.077,10,28,143
31,SICKO MODE,Travis Scott,1.909.392,2,29,211
32,a lot,21 Savage,1.833.615,16,30,71
33,Thotiana,Blueface,1.831.073,22,33,36
34,Look Back at It,A Boogie Wit da Hoodie,1.781.383,20,31,66
35,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,1.760.171,3,32,232
36,Desconocidos,Mau y Ricky; Manuel Turizo; Camilo,1.741.130,28,36,112
37,Who Do You Love,The Chainsmokers; 5 Seconds of Summer,1.697.960,31,34,22
38,Please Me,Cardi B; Bruno Mars,1.688.623,16,37,15
39,Pure Water (with Migos),Mustard; Migos,1.650.050,35,35,33
40,Better Now,Post Malone,1.588.206,1,38,309
41,Ella Quiere Beber - Remix,Anuel AA; Romeo Santos,1.575.190,30,48,119
42,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,1.572.250,3,39,141
43,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,1.556.444,2,41,274
44,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie; 6ix9ine,1.546.527,44,45,59
45,Let Me Down Slowly,Alec Benjamin,1.523.013,42,43,49
46,Amanece,Anuel AA; Haze,1.509.340,41,52,66
47,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,1.481.813,12,46,170
48,Rule The World (feat. Ariana Grande),2 Chainz; Ariana Grande,1.481.682,48,—,1
49,Be Alright,Dean Lewis,1.450.604,12,44,223
50,Always Remember Us This Way,Lady Gaga,1.444.304,33,47,59
51,Nights Like This (feat. Ty Dolla $ign),Kehlani; Ty Dolla $ign,1.432.682,35,40,50
52,Te Vi,Piso 21; Micro TDH,1.425.356,51,54,50
53,Un Año,Sebastian Yatra; Reik,1.403.906,51,51,33
54,Hear Me Calling,Juice WRLD,1.403.078,54,—,1
55,Lucid Dreams,Juice WRLD,1.381.996,2,57,293
56,bad idea,Ariana Grande,1.370.128,7,42,22
57,NASA,Ariana Grande,1.364.324,5,49,22
58,needy,Ariana Grande,1.359.604,3,50,22
59,Better,Khalid,1.354.879,7,53,169
60,rockstar (feat. 21 Savage),Post Malone; 21 Savage,1.353.099,1,60,533
