ID,Track,Singer(s),Stream
1,Dance Monkey,Tones And I,217917312
2,ROXANNE,Arizona Zervas,140427337
3,Tusa,KAROL G; Nicki Minaj,153241202
4,Circles,Post Malone,121378431
5,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5; Nipsey Hussle; YG,110352076
6,Falling,Trevor Daniel,152198639
7,Don't Start Now,Dua Lipa,123558611
8,RITMO (Bad Boys For Life),Black Eyed Peas; J Balvin,90959889
9,Señorita,Shawn Mendes; Camila Cabello,88756019
10,Blinding Lights,The Weeknd,140866613
11,The Box,Roddy Ricch,182675571
12,bad guy,Billie Eilish,82822950
13,everything i wanted,Billie Eilish,102405524
14,Someone You Loved,Lewis Capaldi,87048943
15,Adore You,Harry Styles,75560912
16,Vete,Bad Bunny,64553452
17,My Oh My (feat. DaBaby),Camila Cabello; DaBaby,74730319
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,54174274
19,hot girl bummer,blackbear,65123541
20,China,Anuel AA; Daddy Yankee; KAROL G; J Balvin; Ozuna,53157394
21,Lose You To Love Me,Selena Gomez,79099978
22,BOP,DaBaby,62733757
23,Ride It,Regard,62940693
24,Watermelon Sugar,Harry Styles,58626867
25,HIGHEST IN THE ROOM,Travis Scott,54867924
26,Bandit (with YoungBoy Never Broke Again),Juice WRLD; YoungBoy Never Broke Again,51842699
27,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,53761484
28,Fantasias,Rauw Alejandro; Farruko,54050346
29,Beautiful People (feat. Khalid),Ed Sheeran; Khalid,48389079
30,Lucid Dreams,Juice WRLD,47236071
31,Heartless,The Weeknd,46680341
32,No Idea,Don Toliver,56153389
33,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,37432653
34,Futsal Shuffle 2020,Lil Uzi Vert,47541221
35,LA CANCIÓN,J Balvin; Bad Bunny,41257271
36,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott; ROSALÍA; Lil Baby,42556121
37,Callaita,Bad Bunny; Tainy,39248723
38,7 rings,Ariana Grande,40707588
39,Before You Go,Lewis Capaldi,61333983
40,Que Tire Pa Lante,Daddy Yankee,35595959
41,Lalala,Y2K; bbno$,40308725
42,Hola - Remix,Dalex; Lenny Tavárez; Chencho Corleone; Juhn; Dímelo Flow,52039769
43,Whine Up,Nicky Jam; Anuel AA,41704491
44,How Do You Sleep?,Sam Smith,41374658
45,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,38977545
46,Lose Control,MEDUZA; Becky Hill; Goodboys,53413367
47,10000 Hours (with Justin Bieber),Dan + Shay; Justin Bieber,43300761
48,Sigues Con El,Arcángel; Sech; Dímelo Flow,60222976
49,Good as Hell (feat. Ariana Grande) - Remix,Lizzo; Ariana Grande,32008017
50,Ayy Macarena,Tyga,50634572
51,Ballin' (with Roddy Ricch),Mustard; Roddy Ricch,48899072
52,Happier,Marshmello; Bastille,33199232
53,Suicidal,YNW Melly,55344027
54,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran; Camila Cabello; Cardi B,42716593
55,Adicto (with Anuel AA & Ozuna),Tainy; Anuel AA; Ozuna,37478990
56,OUT WEST (feat. Young Thug),JACKBOYS; Travis Scott; Young Thug,32866328
57,Ransom,Lil Tecca,34944176
58,Goodbyes (feat. Young Thug),Post Malone; Young Thug,37391157
59,Con Altura,ROSALÍA; J Balvin; El Guincho,25066982
60,Shape of You,Ed Sheeran,28667761
61,Trampoline (with ZAYN),SHAED; ZAYN,39804333
62,Shallow,Lady Gaga; Bradley Cooper,36657484
63,Truth Hurts,Lizzo,27798354
64,rockstar (feat. 21 Savage),Post Malone; 21 Savage,29561859
65,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,25754474
66,Wow.,Post Malone,31550908
67,Bohemian Rhapsody - Remastered 2011,Queen,29023739
68,Liberdade Provisória - Live - Ibirapuera / 2019,Henrique & Juliano,28259502
69,when the party's over,Billie Eilish,40947954
70,thank u next,Ariana Grande,26192586
71,Piece Of Your Heart,MEDUZA; Goodboys,28836526
72,lovely (with Khalid),Billie Eilish; Khalid,38896216
73,Psycho,Red Velvet,28495954
74,Con Calma,Daddy Yankee; Snow,23590405
75,Sucker,Jonas Brothers,31099141
76,Robbery,Juice WRLD,30483495
77,Yellow Hearts,Ant Saunders,34378914
78,Tutu,Camilo; Pedro Capó,27603421
79,Aventura,Lunay; Ozuna; Anuel AA,32509143
80,VIBEZ,DaBaby,35499417
81,Lights Up,Harry Styles,31791637
82,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,26873404
83,It's You,Ali Gatie,34230064
84,Don't Stop Me Now - Remastered 2011,Queen,3522914
85,Yo x Ti Tu x Mi,ROSALÍA; Ozuna,28060759
86,Blanco,J Balvin,33761128
87,SICKO MODE,Travis Scott,27591463
88,Indeciso,Reik; J Balvin; Lalo Ebratt,29830721
89,Money In The Grave (Drake ft. Rick Ross),Drake; Rick Ross,29328089
90,God's Plan,Drake,14149765
91,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake; J Balvin; Tyga,25203832
92,Own It (feat. Ed Sheeran & Burna Boy),Stormzy; Burna Boy; Ed Sheeran,35506050
93,Suge,DaBaby,25071943
94,Woah,Lil Baby,30644624
95,GANG GANG,JACKBOYS; Sheck Wes,9040550
96,Quizas,Rich Music LTD; Sech; Dalex; Justin Quiles; Lenny Tavárez; Feid; Wisin; Zion,29675448
97,Bellaquita - Remix,Dalex; Lenny Tavárez; Anitta; NATTI NATASHA; Farruko; Justin Quiles,30351995
98,Mean It,Lauv; LANY,31281960
99,Closer,The Chainsmokers; Halsey,11290228
100,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,7501781
101,Calma - Remix,Pedro Capó; Farruko,10676538
102,Sweet but Psycho,Ava Max,26901934
103,Si Te Vas,Sech; Ozuna,28081595
104,Believer,Imagine Dragons,29468377
105,Roses - Imanbek Remix,SAINt JHN; Imanbek,42107644
106,Combatchy (feat. MC Rebecca),Anitta; Lexa; Luísa Sonza; Rebecca,4176724
107,Writing on the Wall (feat. Post Malone Cardi B & Rvssian),French Montana; Post Malone; Cardi B; Rvssian,5232873
108,SENTADÃO,PEDRO SAMPAIO; Felipe Original; JS o Mão de Ouro,8956023
109,Without Me,Halsey,32466599
110,Wake Me Up,Avicii,2726210
111,No Guidance (feat. Drake),Chris Brown; Drake,26132505
112,Hate Me (with Juice WRLD),Ellie Goulding; Juice WRLD,27543420
113,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug; Travis Scott; Gunna,24998318
114,WHAT TO DO? (feat. Don Toliver),JACKBOYS; Travis Scott; Don Toliver,7904010
115,High Hopes,Panic! At The Disco,24039384
116,If the World Was Ending (feat. Julia Michaels),JP Saxe; Julia Michaels,38755031
117,SAD!,XXXTENTACION,26277263
118,Que Calor,Major Lazer; J Balvin; El Alfa; Diplo,17462419
119,Talk (feat. Disclosure),Khalid; Disclosure,20031233
120,Had Enough (feat. Quavo & Offset),Don Toliver; Offset; Quavo,8720453
121,Into the Unknown,Idina Menzel; AURORA,16160918
122,Supera - Ao Vivo,Marília Mendonça,761330
123,Better Now,Post Malone,24520941
124,Dancing With A Stranger (with Normani),Sam Smith; Normani,26816476
125,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis; Macklemore; Ryan Lewis; Ray Dalton,759930
126,Otro Trago - Remix,Sech; Ozuna; Anuel AA; Darell; Nicky Jam,22408630
127,Higher Love,Kygo; Whitney Houston,25450344
128,Cheirosa - Ao Vivo,Jorge & Mateus,753095
129,223's (feat. 9lokknine),YNW Melly; 9lokknine,21574717
130,Surtada - Remix Brega Funk,Dadá Boladão; Tati Zaqui; OIK,743853
131,Taki Taki (feat. Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,8809264
132,Graveyard,Halsey,26852257
133,Up All Night,Khalid,13715923
134,QUE PRETENDES,J Balvin; Bad Bunny,23225724
135,bury a friend,Billie Eilish,27214854
136,I Like It,Cardi B; Bad Bunny; J Balvin,713706
137,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,9678287
138,Stuck In A Dream (feat. Gunna),Lil Mosey; Gunna,12144436
139,Havana (feat. Young Thug),Camila Cabello; Young Thug,705143
140,11 PM,Maluma,16278689
141,New Rules,Dua Lipa,700901
142,Panini,Lil Nas X,17412632
143,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,25433993
144,Look At Her Now,Selena Gomez,29018639
145,Legends,Juice WRLD,14308722
146,Say So,Doja Cat,48547874
147,MIDDLE CHILD,J. Cole,21697337
148,MIA,Bad Bunny; Drake,687030
149,July,Noah Cyrus,31367982
150,Liar,Camila Cabello,25243049
151,goosebumps,Travis Scott,24000972
152,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,675777
153,Pa' Olvidarme De Ella,Piso 21; Christian Nodal,23005140
154,Don't Call Me Up,Mabel,11280211
155,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone; Ozzy Osbourne; Travis Scott,11930166
156,One Dance,Drake; Wizkid; Kyla,653196
157,Candy,Doja Cat,2129852
158,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix,Justin Quiles; NATTI NATASHA; Farruko; Lenny Tavárez; Dalex; Zion,22579713
159,The London (feat. J. Cole & Travis Scott),Young Thug; J. Cole; Travis Scott,17287482
160,Some que ele vem atrás,Anitta; Marília Mendonça,647025
161,Perfect,Ed Sheeran,24307851
162,Family,The Chainsmokers; Kygo,8357447
163,Perreo en La Luna,Rich Music LTD; Sech; Dalex; Justin Quiles; Lenny Tavárez; Feid,25234212
164,Baila Conmigo (feat. Kelly Ruiz),Dayvi; Victor Cardenas; Kelly Ruíz,641303
165,Old Town Road,Lil Nas X,3759397
166,Another One Bites The Dust - Remastered 2011,Queen,3885843
167,Say You Won't Let Go,James Arthur,25263867
168,If I Can't Have You,Shawn Mendes,21673780
169,Something Just Like This,The Chainsmokers; Coldplay,10934720
170,Under Pressure - Remastered 2011,Queen; David Bowie,1244316
171,Youngblood,5 Seconds of Summer,20611293
172,ocean eyes,Billie Eilish,23985871
173,Moonlight,XXXTENTACION,20190441
174,Pumped Up Kicks,Foster The People,623950
175,All Girls Are The Same,Juice WRLD,7209894
176,Death,Trippie Redd; DaBaby,9036439
177,Jocelyn Flores,XXXTENTACION,22780042
178,The Middle,Zedd; Maren Morris; Grey,619671
179,Thunder,Imagine Dragons,12049823
180,Africa,TOTO,616152
181,VALENTINO,24kGoldn,6136961
182,Uptown Funk (feat. Bruno Mars),Mark Ronson; Bruno Mars,614459
183,I Like Me Better,Lauv,20701609
184,Hit Contagiante,Felipe Original; MC Kevin o Chris; Sodré; JS o Mão de Ouro,612337
185,Takeaway,The Chainsmokers; ILLENIUM; Lennon Stella,20446809
186,Nice To Meet Ya,Niall Horan,13132616
187,You Need To Calm Down,Taylor Swift,17975179
188,Feel It Still,Portugal. The Man,601606
189,3 Batidas - Ao Vivo,Guilherme & Benuto,601352
190,Never Seen the Rain,Tones And I,27855444
191,Let Me Down Slowly,Alec Benjamin,16940790
192,Turn Me On (feat. Vula),Riton; Oliver Heldens; Vula,22821591
193,Fantasía,Ozuna,7370513
194,Going Bad (feat. Drake),Meek Mill; Drake,12968144
195,Bruises,Lewis Capaldi,28386590
196,Despacito - Remix,Luis Fonsi; Daddy Yankee; Justin Bieber,589282
197,Verdinha,LUDMILLA; Topo La Maskara; Walshy Fire,588554
198,Don't Stop Believin',Journey,586900
199,Nunca Es Suficiente,Los Ángeles Azules; Natalia Lafourcade,586686
200,SUGAR,BROCKHAMPTON,45064450
201,Get You The Moon (feat. Snøw),Kina; Snøw,24043793
202,Be Alright,Dean Lewis,19091028
203,all the good girls go to hell,Billie Eilish,16476347
204,Only Human,Jonas Brothers,22996079
205,Can We Kiss Forever?,Kina; Adriana Proenza,22131442
206,Maniac,Conan Gray,21690456
207,All of Me,John Legend,19444018
208,Lover (Remix) [feat. Shawn Mendes],Taylor Swift; Shawn Mendes,686841
209,Alone Pt. II,Alan Walker; Ava Max,28609223
210,2002,Anne-Marie,8302590
