ID,Track,Singer(s),Stream
1,STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,630154752
2,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X; Jack Harlow,512214311
3,Hurricane,Kanye West,131094535
4,Bad Habits,Ed Sheeran,349108415
5,Beggin',Måneskin,272430244
6,good 4 u,Olivia Rodrigo,270123166
7,Pepas,Farruko,341044586
8,Need to Know,Doja Cat,250744087
9,Woman,Doja Cat,309857010
10,Off The Grid,Kanye West,51832805
11,Jail,Kanye West,28068219
12,Happier Than Ever,Billie Eilish,228381822
13,MONTERO (Call Me By Your Name),Lil Nas X,247841489
14,Kiss Me More (feat. SZA),Doja Cat; SZA,225349712
15,Heat Waves,Glass Animals,372131614
16,Moon,Kanye West,54981969
17,Praise God,Kanye West,88344450
18,Todo De Ti,Rauw Alejandro,181024490
19,Volví,Aventura; Bad Bunny,174390367
20,Yonaguni,Bad Bunny,191384081
21,I WANNA BE YOUR SLAVE,Måneskin,140117955
22,Take My Breath - Single Version,The Weeknd,148568034
23,Believe What I Say,Kanye West,13898471
24,traitor,Olivia Rodrigo,177575084
25,Levitating (feat. DaBaby),Dua Lipa; DaBaby,174151243
26,Qué Más Pues?,J Balvin; Maria Becerra,140134137
27,Jonah,Kanye West,11355394
28,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber; Daniel Caesar; Giveon,160637018
29,No Child Left Behind,Kanye West,10987866
30,Ok Ok,Kanye West,9638020
31,Heaven and Hell,Kanye West,10865189
32,Save Your Tears (with Ariana Grande) (Remix),The Weeknd; Ariana Grande,144334531
33,family ties (with Kendrick Lamar),Baby Keem; Kendrick Lamar,116303966
34,Blinding Lights,The Weeknd,168269966
35,deja vu,Olivia Rodrigo,119819130
36,París,Ingratax,106802761
37,Butter,BTS,129688397
38,Remote Control,Kanye West,8108765
39,24,Kanye West,7795433
40,drivers license,Olivia Rodrigo,138774054
41,Pure Souls,Kanye West,8961638
42,Junya,Kanye West,7751664
43,God Breathed,Kanye West,6900104
44,In Da Getto,J Balvin; Skrillex,141928816
45,AM Remix,Nio Garcia; J Balvin; Bad Bunny,115263809
46,Volando - Remix,Mora; Bad Bunny; Sech,124101048
47,Permission to Dance,BTS,103344130
48,2055,Sleepy Hallow,128892271
49,Cúrame,Rauw Alejandro,126996032
50,Get Into It (Yuh),Doja Cat,124222292
51,Jesus Lord,Kanye West,4660744
52,Keep My Spirit Alive,Kanye West,3738652
53,Leave The Door Open,Bruno Mars; Anderson .Paak; Silk Sonic,123532333
54,happier,Olivia Rodrigo,103092518
55,Jail pt 2,Kanye West,3747718
56,Entre Nosotros,Tiago PZK; LIT killah,91599012
57,Sobrio,Maluma,123051855
58,Butter - Megan Thee Stallion Remix,BTS; Megan Thee Stallion,27704188
59,New Again,Kanye West,3600819
60,Watermelon Sugar,Harry Styles,122846884
61,Love Tonight (Edit),Shouse,86074446
62,Cold Heart - PNAU Remix,Elton John; Dua Lipa; PNAU,293008768
63,Donda,Kanye West,3392048
64,Don't Go Yet,Camila Cabello,104939416
65,Ain't Shit,Doja Cat,75544366
66,Miénteme,TINI; Maria Becerra,84453062
67,DÁKITI,Bad Bunny; Jhayco,113753604
68,911 (Remix),Sech; Jhayco,59336152
69,Lord I Need You,Kanye West,2484089
70,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes; Tainy,50298884
71,Come to Life,Kanye West,3392298
72,jealousy jealousy,Olivia Rodrigo,68516637
73,Tiroteo - Remix,Marc Seguí; Rauw Alejandro; Pol Granch,89365003
74,I GUESS I'M IN LOVE,Clinton Kane,84112720
75,Don't Be Shy,Tiësto; KAROL G,137192682
76,Mood (feat. iann dior),24kGoldn; iann dior,104842161
77,Freaks,Surf Curse,98935621
78,Pareja Del Año,Sebastian Yatra; Myke Towers,81120194
79,Astronaut In The Ocean,Masked Wolf,92549436
80,Dynamite,BTS,104703843
81,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton; Nightcrawlers; Mufasa & Hypeman; Dopamine,85825489
82,Like I Can,Sam Smith,76995471
83,Dark Red,Steve Lacy,107488770
84,favorite crime,Olivia Rodrigo,72582069
85,Sweater Weather,The Neighbourhood,128661092
86,Leave Before You Love Me (with Jonas Brothers),Marshmello; Jonas Brothers,91917974
87,Someone You Loved,Lewis Capaldi,105595498
88,Don't Start Now,Dua Lipa,102393501
89,The Business,Tiësto,90687510
90,Love Again,Dua Lipa,83197780
91,Rumors (feat. Cardi B),Lizzo; Cardi B,20515468
92,double take,dhruv,52447955
93,Raataan Lambiyan (From "Shershaah"),Tanishk Bagchi; Jubin Nautiyal; Asees Kaur,37288661
94,Save Your Tears,The Weeknd,95641514
95,Run,OneRepublic,36907196
96,Chosen (feat. Ty Dolla $ign),Blxst; Tyga; Ty Dolla $ign,70037837
97,Poblado - Remix,J Balvin; KAROL G; Nicky Jam; Crissin; Totoy El Frio; Natan & Shander,41151853
98,Loco,Justin Quiles; Chimbala; Zion & Lennox,67846973
99,RAPSTAR,Polo G,83371217
100,Visiting Hours,Ed Sheeran,20130429
101,I am not a woman I'm a god,Halsey,3946689
102,Heartbreak Anniversary,Giveon,71927837
103,Heartbreak Anthem (with David Guetta & Little Mix),Galantis; David Guetta; Little Mix,31335635
104,Motley Crew,Post Malone,18053088
105,Ranjha (From "Shershaah"),Jasleen Royal; B Praak; Romy; Anvita Dutt,29148115
106,Circles,Post Malone,84708165
107,Ok Ok pt 2,Kanye West,1848628
108,Tell The Vision,Kanye West,1806933
109,You Right,Doja Cat; The Weeknd,90450693
110,Don’t Go (with Justin Bieber & Don Toliver),Skrillex; Justin Bieber; Don Toliver,8043419
111,Believer,Imagine Dragons,90077452
112,positions,Ariana Grande,83895132
113,lovely (with Khalid),Billie Eilish; Khalid,94663839
114,Before You Go,Lewis Capaldi,87430898
115,brutal,Olivia Rodrigo,32727472
116,Arcade,Duncan Laurence,74913177
117,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5; Megan Thee Stallion,34995631
118,Dance Monkey,Tones And I,85395106
119,telepatía,Kali Uchis,60573161
120,WITHOUT YOU,The Kid LAROI,41456386
121,Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill; Lil Durk; Lil Baby,12287596
122,Chega E Senta - Ao Vivo,John Amplificado,25750856
123,Levitating,Dua Lipa,59241095
124,Junya pt 2,Kanye West,962540
125,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,84012277
126,Perfect,Ed Sheeran,88201485
127,AOK,Tai Verdes,57620163
128,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry; Jax Jones; Charli XCX; Saweetie,122454782
129,edamame (feat. Rich Brian),bbno$; Rich Brian,93922724
130,Shape of You,Ed Sheeran,81982891
131,Smells Like Teen Spirit - Remastered,Nirvana,77939059
132,2/Catorce,Rauw Alejandro; Mr. Naisgai,30608544
133,Fiel - Remix,Wisin; Jhayco; Anuel AA; Los Legendarios; Myke Towers,20276891
134,Head & Heart (feat. MNEK),Joel Corry; MNEK,51000365
135,Meu Pedaço de Pecado,João Gomes,38352707
136,Donda Chant,Kanye West,906022
137,EL MAKINON,KAROL G; Mariah Angeliq,14737233
138,Heather,Conan Gray,75410267
139,Wow Wow (feat. Becky G),Maria Becerra; Becky G,23351249
140,Gangsta's Paradise,Coolio; L.V.,61459305
141,ALMAS GEMELAS,Myke Towers,34840540
142,Talking to the Moon,Bruno Mars,70587409
143,Build a Bitch,Bella Poarch,1752946
144,Quer Voar,Matuê,31000456
145,Here's Your Perfect,Jamie Miller,23631970
146,you broke me first,Tate McRae,69950105
147,Your Love (9PM),ATB; Topic; A7S,20969028
148,Daddy Issues,The Neighbourhood,71272562
149,Jesus Lord pt 2,Kanye West,874163
150,Wants and Needs (feat. Lil Baby),Drake; Lil Baby,27778217
151,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money; Gunna; Don Toliver; NAV,56280230
152,Señorita,Shawn Mendes; Camila Cabello,70240273
153,Mon Amour - Remix,zzoilo; Aitana,87219020
154,Goosebumps - Remix,Travis Scott; HVME,33521399
155,Another Love,Tom Odell,75256525
156,Botella Tras Botella,Gera MX; Christian Nodal,31828319
157,The Nights,Avicii,74146940
158,Memories,Maroon 5,63584922
159,goosebumps,Travis Scott,68344611
160,Riptide,Vance Joy,59767792
161,Take Me To Church,Hozier,69971239
162,Loverboy,A-Wall,25846874
163,Rasputin,Majestic; Boney M.,18771113
164,Roses - Imanbek Remix,SAINt JHN; Imanbek,39610932
165,Hold On,Justin Bieber,44824376
166,Counting Stars,OneRepublic,66739117
167,Yellow,Coldplay,78061638
168,Say You Won't Let Go,James Arthur,62065477
169,7 rings,Ariana Grande,46051363
170,Thot Shit,Megan Thee Stallion,3153850
171,Shallow,Lady Gaga; Bradley Cooper,75934468
172,Bilmem Mi?,Sefo,810485
173,Pain,PinkPantheress,2363230
174,Remember (with David Guetta),Becky Hill; David Guetta,5476861
175,Bohemian Rhapsody - Remastered 2011,Queen,70852931
176,Dandelions,Ruth B.,72860042
177,Meet Me At Our Spot,THE ANXIETY; WILLOW; Tyler Cole,159016199
178,Fiel,Los Legendarios; Wisin; Jhayco,9274070
179,Where Are You Now,Lost Frequencies; Calum Scott,145886852
180,Jocelyn Flores,XXXTENTACION,51129980
181,Thunderous,Stray Kids,1555869
182,512,Mora; Jhayco,1556118
183,Streets,Doja Cat,12564887
184,Rolê,Tarcísio do Acordeon; Marcynho Sensação,17060227
185,Never Going Home,Kungs,22074616
186,Every Breath You Take,The Police,55489648
187,Wake Me Up,Avicii,45994544
188,All of Me,John Legend,61026060
189,bad guy,Billie Eilish,46301060
190,ROCKSTAR (feat. Roddy Ricch),DaBaby; Roddy Ricch,2296089
191,Arranhão - Ao Vivo,Henrique & Juliano,80817078
192,Hawái,Maluma,17451827
193,MORENA,Luan Santana,15241952
194,No Role Modelz,J. Cole,46422988
195,Just for me,PinkPantheress,1536346
196,The Real Slim Shady,Eminem,66083188
197,Rolling in the Deep,Adele,72635387
198,REPEAT IT (with Gunna),Lil Tecca; Gunna,759139
199,34+35,Ariana Grande,5883628
200,LA NOCHE DE ANOCHE,Bad Bunny; ROSALÍA,1521773
201,Life Goes On,Oliver Tree,200780957
202,I Still Have Faith In You,ABBA,6518654
203,Você Beberia Ou Não Beberia?,Zé Neto & Cristiano,24298265
204,One Dance,Drake; Wizkid; Kyla,4271301
205,Dreams - 2004 Remaster,Fleetwood Mac,33113509
206,FULANITO,Becky G; El Alfa,767349
207,Fancy Like,Walker Hayes,10801822
208,Girls Want Girls (with Lil Baby),Drake; Lil Baby,150440670
209,Champagne Poetry,Drake,70177141
210,Fair Trade (with Travis Scott),Drake; Travis Scott,192588790
211,Papi’s Home,Drake,38434606
212,Way 2 Sexy (with Future & Young Thug),Drake; Future; Young Thug,216605045
213,In The Bible (with Lil Durk & Giveon),Drake; Lil Durk; Giveon,36552412
214,Love All (with JAY-Z),Drake; JAY-Z,36004146
215,TSU,Drake,40355682
216,N 2 Deep,Drake; Future,30438924
217,Knife Talk (with 21 Savage ft. Project Pat),Drake; 21 Savage; Project Pat,175420227
218,No Friends In The Industry,Drake,46587392
219,Pipe Down,Drake,25221967
220,7am On Bridle Path,Drake,22503496
221,Yebba’s Heartbreak,Drake; Yebba,17335719
222,IMY2 (with Kid Cudi),Drake; Kid Cudi,21871299
223,Race My Mind,Drake,21307080
224,You Only Live Twice (with Lil Wayne & Rick Ross),Drake; Lil Wayne; Rick Ross,16369783
225,Fountains (with Tems),Drake; Tems,21240887
226,Get Along Better,Drake; Ty Dolla $ign,14770270
227,F*****g Fans,Drake,12312466
228,The Remorse,Drake,10641454
229,Don't Shut Me Down,ABBA,12468123
230,Diferença Mara,Juliette,1298797
231,HOT DEMON B!TCHES NEAR U ! ! !,CORPSE; Night Lovell,7375178
232,Monday,Imagine Dragons,1148983
233,Bença,Juliette,1147764
234,Good Ones,Charli XCX,1101480
235,Fun Tonight - Pabllo Vittar Remix,Lady Gaga; Pabllo Vittar,1030421
236,Wrecked,Imagine Dragons,5989165
237,911 - Charli XCX & A. G. Cook Remix,Lady Gaga; Charli XCX; A. G. Cook,1010149
238,Ley Seca,Jhayco; Anuel AA,116537707
239,Ficha Limpa,Gusttavo Lima,14674585
240,Vixe Que Gostoso,Juliette,975849
241,Blue Notes 2 (feat. Lil Uzi Vert),Meek Mill; Lil Uzi Vert,972573
242,Dancing Queen,ABBA,2650598
243,Doce,Juliette,968557
244,Sei Lá,Juliette,907719
245,Follow You,Imagine Dragons,3248659
246,Mandarinen,Shindy,888870
247,Benzin,Juliette,886501
248,Ela e Ela,Zé Neto & Cristiano,32180592
249,Baby Me Atende,Matheus Fernandes; Dilsinho,10947987
250,Aquelas Coisas,João Gomes,5965933
251,Zero Saudade - Ao Vivo,Os Barões Da Pisadinha; Maiara & Maraisa,4137957
252,Iko Iko (My Bestie),Justin Wellington; Small Jam,892125
253,Senta Danada,Zé Felipe; Os Barões Da Pisadinha,4043797
