ID,Track,Singer(s),Stream
1,7 rings,Ariana Grande,324608717
2,Shallow,Lady Gaga; Bradley Cooper,255116629
3,Sucker,Jonas Brothers,300787748
4,Con Calma,Daddy Yankee; Snow,323498712
5,break up with your girlfriend i'm bored,Ariana Grande,209538706
6,Wow.,Post Malone,242132933
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,281004043
8,Dancing With A Stranger (with Normani),Sam Smith; Normani,194879502
9,Calma - Remix,Pedro Capó; Farruko,195783917
10,thank u next,Ariana Grande,169445974
11,Secreto,Anuel AA; KAROL G,173076396
12,Happier,Marshmello; Bastille,200734426
13,bury a friend,Billie Eilish,224219386
14,MIDDLE CHILD,J. Cole,178367130
15,Sweet but Psycho,Ava Max,193511839
16,I Can’t Get Enough (benny blanco Selena Gomez J Balvin Tainy),benny blanco; Selena Gomez; J Balvin; Tainy,126545449
17,Without Me,Halsey,180051408
18,Baila Baila Baila,Ozuna,158559665
19,Talk,Khalid; Disclosure,73913104
20,Robbery,Juice WRLD,123171503
21,Giant (with Rag'n'Bone Man),Calvin Harris; Rag'n'Bone Man,136019200
22,Murder On My Mind,YNW Melly,145606489
23,i'm so tired...,Lauv; Troye Sivan,167920068
24,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,136823511
25,Going Bad (feat. Drake),Meek Mill; Drake,145694560
26,MIA,Bad Bunny; Drake,128346197
27,Don't Call Me Up,Mabel,198505531
28,High Hopes,Panic! At The Disco,144962038
29,Adan y Eva,Paulo Londra,122061893
30,Bohemian Rhapsody - Remastered 2011,Queen,129064317
31,SICKO MODE,Travis Scott,120579119
32,a lot,21 Savage,97012881
33,Thotiana,Blueface,86755677
34,Look Back at It,A Boogie Wit da Hoodie,107330828
35,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,126054544
36,Desconocidos,Mau y Ricky; Manuel Turizo; Camilo,115342557
37,Who Do You Love,The Chainsmokers; 5 Seconds of Summer,117836175
38,Please Me,Cardi B; Bruno Mars,110830380
39,Pure Water (with Migos),Mustard; Migos,122135291
40,Better Now,Post Malone,118664402
41,Ella Quiere Beber - Remix,Anuel AA; Romeo Santos,97678338
42,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,90621833
43,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,108294012
44,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie; 6ix9ine,153626291
45,Let Me Down Slowly,Alec Benjamin,145941123
46,Amanece,Anuel AA; Haze,100414543
47,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,93001942
48,Rule The World (feat. Ariana Grande),2 Chainz; Ariana Grande,4593965
49,Be Alright,Dean Lewis,109977965
50,Always Remember Us This Way,Lady Gaga,90504539
51,Nights Like This (feat. Ty Dolla $ign),Kehlani; Ty Dolla $ign,37172289
52,Te Vi,Piso 21; Micro TDH,112384952
53,Un Año,Sebastian Yatra; Reik,101469781
54,Hear Me Calling,Juice WRLD,34119451
55,Lucid Dreams,Juice WRLD,102566182
56,bad idea,Ariana Grande,19510841
57,NASA,Ariana Grande,29949187
58,needy,Ariana Grande,30398063
59,Better,Khalid,117126191
60,rockstar (feat. 21 Savage),Post Malone; 21 Savage,106241285
61,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding; Diplo; Swae Lee,97458144
62,when the party's over,Billie Eilish,169307434
63,Mo Bamba,Sheck Wes,81641091
64,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson; Miley Cyrus,65107833
65,SAD!,XXXTENTACION,97697237
66,Someone You Loved,Lewis Capaldi,150278992
67,I,Lil Skies,57532684
68,lovely (with Khalid),Billie Eilish; Khalid,133359454
69,bloodline,Ariana Grande,23996667
70,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,80862352
71,Wake Up in the Sky,Gucci Mane; Bruno Mars; Kodak Black,76250018
72,Whip (feat. Travis Scott),2 Chainz; Travis Scott,4421950
73,Don't Stop Me Now - Remastered 2011,Queen,86673870
74,Adictiva,Daddy Yankee; Anuel AA,64420236
75,Another One Bites The Dust - Remastered 2011,Queen,83258378
76,Moonlight,XXXTENTACION,114539482
77,In My Mind,Dynoro; Gigi D'Agostino,85604394
78,imagine,Ariana Grande,23771394
79,Saturday Nights,Khalid,92210206
80,365,Zedd; Katy Perry,29852068
81,Red Room,Offset,25677242
82,Youngblood,5 Seconds of Summer,92143590
83,I Like It,Cardi B; Bad Bunny; J Balvin,83969320
84,Almeda,Solange,2735112
85,Say My Name,David Guetta; Bebe Rexha; J Balvin,65917155
86,Girls Need Love (with Drake) - Remix,Summer Walker; Drake,17958795
87,2002,Anne-Marie,85567256
88,Shape of You,Ed Sheeran,92661515
89,Last Hurrah,Bebe Rexha,50661369
90,Bola Rebola,Tropkillaz; J Balvin; Anitta; ZAAC,40802987
91,Taste (feat. Offset),Tyga; Offset,79866675
92,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD; Halsey; Travis Barker,22264751
93,Reggaeton,J Balvin,49652748
94,Legacy (feat. Travis Scott & 21 Savage),Offset; Travis Scott; 21 Savage,10131335
95,NI BIEN NI MAL,Bad Bunny,31009292
96,Body,Loud Luxury; Brando,78263926
97,no tears left to cry,Ariana Grande,72109578
98,Money,Cardi B,32752781
99,God's Plan,Drake,76554735
100,Bad Girls (feat. Gucci Mane),Lil Skies; Gucci Mane,4158628
101,HP,Maluma,168139545
102,Under Pressure - Remastered 2011,Queen; David Bowie,65520184
103,One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,72443049
104,fake smile,Ariana Grande,10470274
105,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION; Lil Pump; Swae Lee; Maluma,39543341
106,Armed And Dangerous,Juice WRLD,26329618
107,Believer,Imagine Dragons,84277167
108,Love Someone,Lukas Graham,63709944
109,Imposible,Luis Fonsi; Ozuna,25079888
110,Bad Liar,Imagine Dragons,91420760
111,Walk Me Home,P!nk,92921295
112,Think About You,Kygo; Valerie Broussard,8734135
113,Psycho (feat. Ty Dolla $ign),Post Malone; Ty Dolla $ign,76515782
114,Mixed Personalities (feat. Kanye West),YNW Melly; Kanye West,93023956
115,Jocelyn Flores,XXXTENTACION,75659563
116,Perfect,Ed Sheeran,81618646
117,Bubalu,Becky G; Prince Royce; DJ Luian; Mambo Kingz; Anuel AA,34472403
118,Leave Me Alone,Flipp Dinero,42624097
119,I Like Me Better,Lauv,79861071
120,No Sleep (feat. Bonn),Martin Garrix; Bonn,28653767
121,Créeme,KAROL G; Maluma,44578225
122,Lost In Japan,Shawn Mendes,72623142
123,Speechless (feat. Erika Sirola),Robin Schulz; Erika Sirola,44373539
124,Let You Love Me,Rita Ora,25952099
125,idontwannabeyouanymore,Billie Eilish,77129078
126,IDGAF,Dua Lipa,68259850
127,Natural,Imagine Dragons,63920539
128,Solo de Mi,Bad Bunny,16257759
129,In My Feelings,Drake,62187550
130,Beautiful (feat. Camila Cabello),Bazzi; Camila Cabello,49508018
131,Somebody To Love - Remastered 2011,Queen,24575586
132,Almost (Sweet Music),Hozier,14287517
133,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown; Zion & Lennox; Farruko; Manuel Turizo,35293226
134,Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz; Kendrick Lamar,1515838
135,Nonstop,Drake,41155966
136,Splashin,Rich The Kid,31315952
137,Ruin My Life,Zara Larsson,20070952
138,The Middle,Zedd; Maren Morris; Grey,67351478
139,Too Good At Goodbyes,Sam Smith,67942015
140,We Will Rock You - Remastered 2011,Queen,29033670
141,Best Part (feat. H.E.R.),Daniel Caesar; H.E.R.,29082340
142,Vaina Loca,Ozuna; Manuel Turizo,23511084
143,Havana (feat. Young Thug),Camila Cabello; Young Thug,63560894
144,Thunder,Imagine Dragons,71198851
145,ghostin,Ariana Grande,4955892
146,I Fall Apart,Post Malone,60633197
147,FRIENDS,Marshmello; Anne-Marie,53710917
148,Solo (feat. Demi Lovato),Clean Bandit; Demi Lovato,37657715
