ID,Track,Singer(s),Stream
1,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,413319101
2,bad guy,Billie Eilish,370407936
3,Old Town Road - Remix,Lil Nas X; Billy Ray Cyrus,358729074
4,Otro Trago,Sech; Darell,226486542
5,Old Town Road,Lil Nas X,153022983
6,If I Can't Have You,Shawn Mendes,200181623
7,Con Calma,Daddy Yankee; Snow,199215753
8,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,210953378
9,Someone You Loved,Lewis Capaldi,236771476
10,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,211611156
11,The London (feat. J. Cole & Travis Scott),Young Thug; J. Cole; Travis Scott,167020608
12,Sucker,Jonas Brothers,172849484
13,SOS,Avicii; Aloe Blacc,15260619
14,Never Really Over,Katy Perry,177948241
15,EARFQUAKE,Tyler; The Creator,115703154
16,7 rings,Ariana Grande,159290044
17,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran; Chance the Rapper; PnB Rock,153016426
18,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix; Macklemore; Fall Out Boy,160997716
19,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift; Brendon Urie; Panic! At The Disco,125023105
20,Talk (feat. Disclosure),Khalid; Disclosure,143934154
21,Truth Hurts,Lizzo,189640921
22,Mother's Daughter,Miley Cyrus,89428265
23,Shallow,Lady Gaga; Bradley Cooper,144954959
24,Don't Call Me Up,Mabel,116600920
25,Piece Of Your Heart,MEDUZA; Goodboys,191990466
26,Tal Vez,Paulo Londra,119728716
27,Calma - Remix,Pedro Capó; Farruko,128405057
28,Pa Mí - Remix,Dalex; Rafa Pabön; KHEA; Sech; Feid; Cazzu; Lenny Tavárez,118673885
29,Wow.,Post Malone,126959117
30,Te Robaré,Nicky Jam; Ozuna,133391065
31,Verte Ir,DJ Luian; Mambo Kingz; Anuel AA; Nicky Jam; Darell; Brytiago,120669780
32,Suge,DaBaby,120445814
33,Happier,Marshmello; Bastille,130440650
34,Easier,5 Seconds of Summer,92299496
35,Sweet but Psycho,Ava Max,109994550
36,Con Altura,ROSALÍA; J Balvin; El Guincho,137912916
37,bury a friend,Billie Eilish,108395317
38,Press,Cardi B,17160465
39,HP,Maluma,102830566
40,Here With Me,Marshmello; CHVRCHES,88889534
41,when the party's over,Billie Eilish,119262235
42,Dancing With A Stranger (with Normani),Sam Smith; Normani,110405571
43,Callaita,Bad Bunny; Tainy,264754069
44,Find U Again (feat. Camila Cabello),Mark Ronson; Camila Cabello,72001098
45,Pop Out (feat. Lil Tjay),Polo G; Lil Tjay,108699867
46,11 PM,Maluma,147777846
47,Without Me,Halsey,109196924
48,Go Loko (feat. Tyga Jon Z),YG; Tyga; Jon Z,114068680
49,Rescue Me,OneRepublic,124323400
50,Carry On (from the Original Motion Picture "POKÉMON Detective Pikachu"),Kygo; Rita Ora,49137992
51,Boy With Luv (feat. Halsey),BTS; Halsey,95969122
52,A Whole New World (End Title) - From "Aladdin",ZAYN; Zhavia,57914690
53,Paradise,Bazzi,76556191
54,lovely (with Khalid),Billie Eilish; Khalid,111667681
55,i'm so tired...,Lauv; Troye Sivan,90427805
56,So Am I,Ava Max,80023861
57,Secreto,Anuel AA; KAROL G,73671389
58,Call You Mine,The Chainsmokers; Bebe Rexha,143614976
59,MIDDLE CHILD,J. Cole,89436306
60,thank u next,Ariana Grande,100298502
61,Nightmare,Halsey,25317898
62,High Hopes,Panic! At The Disco,93877229
63,Contra La Pared,Sean Paul; J Balvin,81094363
64,Bohemian Rhapsody - Remastered 2011,Queen,98855986
65,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,96987356
66,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie; 6ix9ine,84844398
67,wish you were gay,Billie Eilish,79910264
68,Homicide (feat. Eminem),Logic; Eminem,44130107
69,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,52678671
70,Isis,Joyner Lucas; Logic,22784087
71,No Me Conoce - Remix,Jhayco; J Balvin; Bad Bunny,169253701
72,3 Nights,Dominic Fike,92890534
73,break up with your girlfriend i'm bored,Ariana Grande,80843575
74,Kill This Love,BLACKPINK,68062681
75,Que Mas Pues - Remix,Sech; Justin Quiles; Maluma; Nicky Jam; Farruko; Dalex; Lenny Tavárez,85553435
76,rockstar (feat. 21 Savage),Post Malone; 21 Savage,94782600
77,On My Way,Alan Walker; Sabrina Carpenter; Farruko,71953066
78,MIA,Bad Bunny; Drake,79864731
79,Adan y Eva,Paulo Londra,66493606
80,SICKO MODE,Travis Scott,84433757
81,Shape of You,Ed Sheeran,93550089
82,Better Now,Post Malone,88876872
83,Sixteen,Ellie Goulding,26335319
84,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,85798904
85,Baila Baila Baila - Remix,Ozuna; Daddy Yankee; J Balvin; Farruko; Anuel AA,60507603
86,Going Bad (feat. Drake),Meek Mill; Drake,78267700
87,Let Me Down Slowly,Alec Benjamin,84753915
88,Pure Water (with Migos),Mustard; Migos,73764558
89,Giant (with Rag'n'Bone Man),Calvin Harris; Rag'n'Bone Man,50068537
90,Ritual,Tiësto; Jonas Blue; Rita Ora,86631172
91,Te Vi,Piso 21; Micro TDH,40057236
92,Better,Khalid,82483286
93,Lucid Dreams,Juice WRLD,79448454
94,Baila Baila Baila,Ozuna,52224435
