ID,Track,Singer(s),Stream
1,thank u next,Ariana Grande,391737213
2,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake; Selena Gomez; Ozuna; Cardi B,280175765
3,All I Want for Christmas Is You,Mariah Carey,114706405
4,MIA,Bad Bunny; Drake,244835580
5,Without Me,Halsey,298989813
6,Happier,Marshmello; Bastille,282340786
7,Santa Tell Me,Ariana Grande,74774358
8,Last Christmas,Wham!,88778857
9,ZEZE (feat. Travis Scott & Offset),Kodak Black; Offset; Travis Scott,195437675
10,SICKO MODE,Travis Scott,220192880
11,KIKA,6ix9ine; Tory Lanez,102119262
12,TIC TOC,6ix9ine; Lil Baby,43717519
13,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,342391154
14,Adan y Eva,Paulo Londra,208750426
15,Mo Bamba,Sheck Wes,162212750
16,Sweet but Psycho,Ava Max,248912873
17,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION; Lil Pump; Swae Lee; Maluma,144625476
18,Shallow,Lady Gaga; Bradley Cooper,222645416
19,Going Bad (feat. Drake),Meek Mill; Drake,211493609
20,Bohemian Rhapsody - Remastered 2011,Queen,154565058
21,It's Beginning to Look a Lot like Christmas,Michael Bublé,65577474
22,Jingle Bell Rock,Bobby Helms,60409206
23,MAMA,6ix9ine; Nicki Minaj; Kanye West,33674722
24,BEBE,6ix9ine; Anuel AA,97876227
25,Rockin' Around The Christmas Tree,Brenda Lee,59175121
26,when the party's over,Billie Eilish,157654165
27,Do They Know It's Christmas? - 1984 Version,Band Aid,54930738
28,It's the Most Wonderful Time of the Year,Andy Williams,55936210
29,In My Mind,Dynoro; Gigi D'Agostino,129986731
30,Better,Khalid,140919106
31,Drip Too Hard (Lil Baby & Gunna),Lil Baby; Gunna,162250492
32,Mistletoe,Justin Bieber,49229214
33,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5; Cardi B,151076292
34,Lucid Dreams,Juice WRLD,141033557
35,Eastside (with Halsey & Khalid),benny blanco; Halsey; Khalid,164571659
36,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson; Miley Cyrus,155521460
37,SAD!,XXXTENTACION,145984841
38,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding; Diplo; Swae Lee,140112836
39,Promises (with Sam Smith),Calvin Harris; Sam Smith; Jessie Reyez,118533688
40,FEFE,6ix9ine; Nicki Minaj; Murda Beatz,75145954
41,Better Now,Post Malone,151163248
